Description,Selection Return 01/04/1999 - 01/29/1999,Selection Return 02/01/1999 - 02/26/1999,Selection Return 03/01/1999 - 03/31/1999,Selection Return 04/01/1999 - 04/30/1999,Selection Return 05/03/1999 - 05/28/1999,Selection Return 06/01/1999 - 06/30/1999,Selection Return 07/01/1999 - 07/30/1999,Selection Return 08/02/1999 - 08/31/1999,Selection Return 09/01/1999 - 09/30/1999,Selection Return 10/01/1999 - 10/29/1999,Selection Return 11/01/1999 - 11/30/1999,Selection Return 12/01/1999 - 12/31/1999,Selection Return 01/03/2000 - 01/31/2000,Selection Return 02/01/2000 - 02/29/2000,Selection Return 03/01/2000 - 03/31/2000,Selection Return 04/03/2000 - 04/28/2000,Selection Return 05/01/2000 - 05/31/2000,Selection Return 06/01/2000 - 06/30/2000,Selection Return 07/03/2000 - 07/31/2000,Selection Return 08/01/2000 - 08/31/2000,Selection Return 09/01/2000 - 09/29/2000,Selection Return 10/02/2000 - 10/31/2000,Selection Return 11/01/2000 - 11/30/2000,Selection Return 12/01/2000 - 12/29/2000,Selection Return 01/02/2001 - 01/31/2001,Selection Return 02/01/2001 - 02/28/2001,Selection Return 03/01/2001 - 03/30/2001,Selection Return 04/02/2001 - 04/30/2001,Selection Return 05/01/2001 - 05/31/2001,Selection Return 06/01/2001 - 06/29/2001,Selection Return 07/02/2001 - 07/31/2001,Selection Return 08/01/2001 - 08/31/2001,Selection Return 09/04/2001 - 09/28/2001,Selection Return 10/01/2001 - 10/31/2001,Selection Return 11/01/2001 - 11/30/2001,Selection Return 12/03/2001 - 12/31/2001,Selection Return 01/02/2002 - 01/31/2002,Selection Return 02/01/2002 - 02/28/2002,Selection Return 03/01/2002 - 03/28/2002,Selection Return 04/01/2002 - 04/30/2002,Selection Return 05/01/2002 - 05/31/2002,Selection Return 06/03/2002 - 06/28/2002,Selection Return 07/01/2002 - 07/31/2002,Selection Return 08/01/2002 - 08/30/2002,Selection Return 09/03/2002 - 09/30/2002,Selection Return 10/01/2002 - 10/31/2002,Selection Return 11/01/2002 - 11/29/2002,Selection Return 12/02/2002 - 12/31/2002,Selection Return 01/02/2003 - 01/31/2003,Selection Return 02/03/2003 - 02/28/2003,Selection Return 03/03/2003 - 03/31/2003,Selection Return 04/01/2003 - 04/30/2003,Selection Return 05/01/2003 - 05/30/2003,Selection Return 06/02/2003 - 06/30/2003,Selection Return 07/01/2003 - 07/31/2003,Selection Return 08/01/2003 - 08/29/2003,Selection Return 09/02/2003 - 09/30/2003,Selection Return 10/01/2003 - 10/31/2003,Selection Return 11/03/2003 - 11/28/2003,Selection Return 12/01/2003 - 12/31/2003,Selection Return 01/02/2004 - 01/30/2004,Selection Return 02/02/2004 - 02/27/2004,Selection Return 03/01/2004 - 03/31/2004,Selection Return 04/01/2004 - 04/30/2004,Selection Return 05/03/2004 - 05/28/2004,Selection Return 06/01/2004 - 06/30/2004,Selection Return 07/01/2004 - 07/30/2004,Selection Return 08/02/2004 - 08/31/2004,Selection Return 09/01/2004 - 09/30/2004,Selection Return 10/01/2004 - 10/29/2004,Selection Return 11/01/2004 - 11/30/2004,Selection Return 12/01/2004 - 12/31/2004,Selection Return 01/03/2005 - 01/31/2005,Selection Return 02/01/2005 - 02/28/2005,Selection Return 03/01/2005 - 03/31/2005,Selection Return 04/01/2005 - 04/29/2005,Selection Return 05/02/2005 - 05/31/2005,Selection Return 06/01/2005 - 06/30/2005,Selection Return 07/01/2005 - 07/29/2005,Selection Return 08/01/2005 - 08/31/2005,Selection Return 09/01/2005 - 09/30/2005,Selection Return 10/03/2005 - 10/31/2005,Selection Return 11/01/2005 - 11/30/2005,Selection Return 12/01/2005 - 12/30/2005,Selection Return 01/03/2006 - 01/31/2006,Selection Return 02/01/2006 - 02/28/2006,Selection Return 03/01/2006 - 03/31/2006,Selection Return 04/03/2006 - 04/28/2006,Selection Return 05/01/2006 - 05/31/2006,Selection Return 06/01/2006 - 06/30/2006,Selection Return 07/03/2006 - 07/31/2006,Selection Return 08/01/2006 - 08/31/2006,Selection Return 09/01/2006 - 09/29/2006,Selection Return 10/02/2006 - 10/31/2006,Selection Return 11/01/2006 - 11/30/2006,Selection Return 12/01/2006 - 12/29/2006,Selection Return 01/03/2007 - 01/31/2007,Selection Return 02/01/2007 - 02/28/2007,Selection Return 03/01/2007 - 03/30/2007,Selection Return 04/02/2007 - 04/30/2007,Selection Return 05/01/2007 - 05/31/2007,Selection Return 06/01/2007 - 06/29/2007,Selection Return 07/02/2007 - 07/31/2007,Selection Return 08/01/2007 - 08/31/2007,Selection Return 09/04/2007 - 09/28/2007,Selection Return 10/01/2007 - 10/31/2007,Selection Return 11/01/2007 - 11/30/2007,Selection Return 12/03/2007 - 12/31/2007,Selection Return 01/02/2008 - 01/31/2008,Selection Return 02/01/2008 - 02/29/2008,Selection Return 03/03/2008 - 03/31/2008,Selection Return 04/01/2008 - 04/30/2008,Selection Return 05/01/2008 - 05/30/2008,Selection Return 06/02/2008 - 06/30/2008,Selection Return 07/01/2008 - 07/31/2008,Selection Return 08/01/2008 - 08/29/2008,Selection Return 09/02/2008 - 09/30/2008,Selection Return 10/01/2008 - 10/31/2008,Selection Return 11/03/2008 - 11/28/2008,Selection Return 12/01/2008 - 12/31/2008,Selection Return 01/02/2009 - 01/30/2009,Selection Return 02/02/2009 - 02/27/2009,Selection Return 03/02/2009 - 03/31/2009,Selection Return 04/01/2009 - 04/30/2009,Selection Return 05/01/2009 - 05/29/2009,Selection Return 06/01/2009 - 06/30/2009
Calamos 130/30 Equity A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.001916,-3.712898,-3.923874,-4.472178,-4.639302,-2.895734,-1.289537,-3.371242,-4.589458,-5.784459,-2.449746,-0.260162
Calamos Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.944306,-0.449301,-0.77524,1.82089,-0.27658,-1.957779,1.492031,1.712612,0.075553,1.283052,0.811705,0.560409,-0.94773,-3.037327,-2.463428,0.400642,0.715788,2.125121,-0.423709,0.313782,0.479866,1.190599,1.538806,0.694883,2.989639,-0.966283,-0.837339,-0.169451,0.944025,1.053441,-1.557856,3.330584,1.150589,-0.789664,-0.059207,2.30898,-0.995685,0.399215,-1.241207,-0.296967,-0.711131,0.022398,-0.576229,1.48867,-2.268286,-0.709208,0.020942,1.077266,1.095751,0.743954,0.473136,-0.719255,-2.533007,-1.549811,-0.204313,-0.694693,-0.490566,-2.150222,-1.696399,0.965596,-1.845627,-1.583888,-1.680325,-0.048941,-1.592191,1.042416,-0.226652,0.86958,-0.240437,-0.047698,2.283283,2.116948,2.42918,-0.366015,-0.35909,-2.873126,-2.223386,1.636847,2.113591,-0.565525,-0.371814,-0.898077,-0.302124,-2.731776,1.420698,-1.468179,-2.5191,0.880725,0.706036,0.071715,0.206253,-0.857006,-0.561557
California Investment Nasdaq 100 Idx Dir,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.215423,-0.307246,1.29478,-0.719744,1.234135,2.16399,1.174421,1.006234,3.159775,-1.880331,-0.357971,-3.246884,-2.777753,2.821692,1.930227,1.688922,-2.702124,1.793362,0.123524,-2.761196,3.314812,-1.678647,-1.003651,3.071557,2.789333,1.971676,1.334308,-1.914297,1.540132
Calvert Large Cap Growth I,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.451462,1.245591,0.221128,-1.974565,-2.275053,0.992719,0.53342,0.904238,0.963263,-1.486395,1.183719,1.997866,3.056695,-4.511377,-0.570804,2.14326,0.884577,1.881705,-1.605982,-0.579806,1.228471,-0.196385,-1.297199,0.824289,1.79123,-0.466152,0.301014,1.717318,1.121188,-0.585821,-1.461554,1.956309,1.674533,-0.799163,0.718144,0.445409,1.231756,-0.278603,-1.228523,-0.184426,-0.19224,0.29934,-1.036728,1.44795,-0.10367,0.138923,0.39261,2.370111,0.595127,-0.178923,0.076501,-0.900359,0.019745,-0.975044,-0.07987,-0.770595,0.096096,-0.19826,-1.050154,0.772051,-1.812881,-1.354904,-0.891886,1.023898,-0.604245,-0.202205,-0.806407,0.225957,-0.459779,0.022787,0.386392,0.176844,0.039297,0.166032,0.446276,-3.34111,-1.913132,1.037233,0.191708,-1.309794,-0.635754,-0.755773,-1.659771,-0.695658,-0.219136,-1.827216,-0.681692,-0.259206,0.028373,-0.941782,-0.67953,-1.482336,-0.987334
Calvert Social Index A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.507575,1.275241,-0.339694,0.948868,-1.360722,0.123123,0.808888,0.372855,0.093138,-0.536903,-0.033317,-0.903543,2.295645,0.37012,-0.267234,0.364071,0.014978,-0.650498,0.515605,0.36923,-0.367608,0.16476,-0.796264,-0.093743,0.902815,-0.04108,-0.580264,0.212021,-0.28541,0.167956,-0.584995,0.660699,-0.339207,0.448093,0.23954,-0.754022,0.430388,-0.18172,0.071989,-0.264145,-0.687565,0.145366,-0.35279,0.125718,-0.015668,-0.038287,0.116147,-0.438129,0.291163,0.521442,-0.151563,0.361478,0.371757,-0.830933,0.415568,-0.898419,-0.252922,0.136734,0.227112,0.663222,-0.590212,-0.166881,-0.499585,0.36917,0.195053,-0.968922,0.165604,-0.423615,0.100234,0.358676,0.216435,-0.099834,-0.153601,0.236512,-0.824767,-0.017111,-1.740716,-0.0152,-0.004584,-1.124155,-1.944398,0.879609,-0.151683,-0.395171,-0.875184,-0.907736,-1.708619,-0.572678,1.281313,1.487666,0.693751,-0.24275,0.933149
Calvert Social Investment Equity A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.885967,0.761126,0.418607,0.728133,-0.097258,-0.09689,2.030229,0.560421,0.449464,-0.059743,0.514887,-0.47709,1.553037,1.357473,0.443725,-1.822506,0.766347,-0.640065,-0.884108,0.351216,-0.354601,1.078392,-0.71676,-1.507522,-0.171042,-0.592839,-0.547637,-1.536653,-0.468802,-0.372678,0.864669,-0.030105,-0.623971,0.851846,-0.526798,-0.592139,0.637676,-0.145347,-0.067846,0.257742,-0.671065,1.2805,-0.582267,0.517871,0.291554,-0.028083,-0.320456,-0.301333,-0.232476,0.455616,-1.052666,0.252231,-0.363098,-0.085829,0.495605,-0.004547,0.150504,0.132143,0.100437,0.083997,-0.133052,-0.930753,-0.066339,-0.607713,-0.298171,-0.695992,-0.154223,-0.371931,0.131907,0.23611,0.255963,0.83764,-0.381244,0.897281,1.210491,-0.391275,1.21254,-0.028528,0.864644,-0.754548,2.029107,-1.069191,0.556207,0.902077,0.668398,-0.993554,-2.416799,-1.12005,0.177674,1.83317,1.864118,-1.025103,0.631887
Capital Advisors Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.211856,6.115366,-0.027964,-2.674727,-1.52163,0.412778,-0.505238,-0.282349,1.716352,0.345147,0.526141,1.903684,0.338351,-3.043227,1.449662,-0.769997,-0.890344,1.027298,0.440866,-2.753098,0.972195,0.84058,-0.130018,0.138966,1.065061,1.24842,-0.800828,-2.739906,0.748111,0.150245,0.439193,1.627581,-0.580546,0.699732,0.405665,2.854002,0.197314,-0.097519,-0.940978,-2.254532,-1.456568,-0.801437,-1.025065,1.481711,0.955183,-0.265251,1.101438,0.278939,0.793796,-1.243378,-0.02354,-1.192662,-1.76237,-1.953008,1.97291,-1.106474,-0.099334,-0.120498,0.470062,-0.093533,0.87226,0.519384,-2.359681,1.60212,-0.935754,-0.907411,0.282527,1.339609,0.158316,0.207495,0.748958,2.376712,1.301632,-1.440565,-0.474544,1.03545,-1.324722,0.650883,1.974899,-2.252057,-4.241215,2.781086,-0.541061,0.145927,1.405099,-0.701446,2.94806,2.060009,0.840979,-1.931524,-2.563693,1.756814,-1.90241
Cavanal Hill US Lg Cp Eq Inv,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.755557,0.009182,-1.350722,-1.233097,0.213887,-0.024566,-1.891898,-0.245922,-0.717147,-0.952613,-0.505126,0.68375,-2.083285,-0.719357,-0.522299,0.007423,0.37147,0.304547,0.496013,-0.663918,-0.710249,0.473731,-0.341567,-0.809626,-0.090577,-0.808102,0.637128,-0.433978,-0.058633,-0.333423,-0.089912,0.268624,-0.512083,0.549936,-0.036441,1.008352,0.105584,0.133349,0.407209,0.742477,-0.130963,-0.297686,-1.057689,0.161869,0.641216,-0.571106,0.456315,0.143401,0.74587,0.365962,0.112092,-0.585427,-0.282477,0.326153,0.056154,-0.023257,-0.070667,-0.647961,0.299909,1.142333,-0.70408,-1.010675,0.693152,0.564678,-0.003179,0.176817,-0.665879,-0.047408,-0.248304,-0.087363,0.71884,0.71137,-1.497433,0.516345,1.950543,-0.457408,1.611537,0.169147,0.095418,-0.784902,-0.257326,1.45342,0.704489,-0.183059,-1.32515,-0.365436,0.719699,0.685047,0.626401,-0.951864,-0.716265,0.567072,-0.613438
Century Shares Trust Instl,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.320098,1.145077,-1.819899,-0.933782,2.433602,-1.668936,2.007519,-0.685915,-0.633281,-0.114942,-0.73662,0.015138,1.10569,-2.777795,-0.58396,0.173601,-1.353666,2.753857,1.620885,-0.345737,-1.509929,0.792504,-0.721217,-0.415869,-0.391899,0.494011,-0.633809,1.597499,2.605172,-0.032088,0.412493,-0.377438,-0.579293,-0.308483,-0.234958,0.499339,-1.247268,1.00086,1.171187,0.025542,-0.371484,0.289514,0.234436,0.357291,1.21578,-1.973855,-0.436577,0.800004,1.583517,0.858059,-0.104049,-0.891545,0.284965,-0.236544,0.165793,-0.574247,0.052443,0.024344,0.449151,-0.194258,-1.24359,-0.08689,0.738264,-0.688712,0.423985,-0.322836,-0.406459,0.352192,0.085619,-0.735389,0.62589,-0.430524,-1.106771,1.665889,0.393197,-0.919744,-0.751535,-2.208671,0.764358,0.134663,-0.539403,0.309199,-0.446875,0.033633,-1.419652,-0.484294,-2.044342,-0.999694,1.846689,-0.717901,-0.070284,-1.081412,0.150822
Chase Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.574649,0.410959,-1.326506,0.276696,-1.068045,0.008905,-0.124852,0.597438,-0.736718,-0.732656,-0.062217,1.051575,0.773677,-7.266098,-1.949352,0.438652,-1.195941,2.122914,-0.404726,-0.679598,-0.357643,-2.515755,-0.985577,-0.951186,3.415089,0.367849,-0.195844,0.362154,1.963352,2.528637,-0.651627,1.282652,0.18565,-1.379614,-0.781502,2.217272,-1.483699,0.707515,-1.638271,1.313048,0.620041,0.999137,-1.410615,0.134398,0.38121,-0.399038,-0.320172,0.185396,-0.24354,-1.153653,0.543552,-1.248857,-1.187977,-1.35715,0.051346,-0.521794,0.156264,-0.530176,-1.309293,-0.522924,-2.354092,-1.483399,-1.421494,0.469351,-1.054466,0.519484,-0.872711,0.117376,-0.287185,0.543833,2.697671,2.075458,0.181095,0.204585,2.089803,-1.602057,0.097235,0.414385,0.027105,-0.16996,0.759293,-0.454459,-0.459808,-0.864147,-0.3638,-1.829914,-0.689683,-0.221025,-2.489808,-1.784342,-2.371718,-0.782917,-1.759782
Chesapeake Core Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.414155,2.987066,0.029472,-0.609593,-1.168004,0.082387,-0.372403,2.676143,-0.292947,0.46458,1.864194,0.633744,0.076223,-0.010172,-1.552628,1.632699,-0.32988,-0.15636,0.610864,0.789279,-0.432275,0.258673,0.128618,1.325676,0.231154,-0.263153,-0.214692,0.742623,0.440334,-0.130146,-1.838665,0.774275,0.400739,-0.481737,-1.80901,0.16775,-0.122935,-0.173008,0.671456,-1.272393,-0.938382,1.24854,0.681238,0.132586,-0.978257,-1.749751,-0.463972,-0.160179,0.70028,-2.757861,-0.768166,0.386544,-0.503921,-1.557614,1.289582,-1.650114,-0.022254,-1.529411,2.158262,-0.548679,-2.106415,-0.544079,0.521067,2.617491,-0.441509,0.996224,-0.921183,-0.720536,-1.232452,-0.658253,0.759654,2.051917,0.935145,0.113003,0.674706,0.530126,-1.310191,-0.782299,-1.641402,-0.167736,-1.096837,-0.043556,-0.684402,-0.470248,-1.910068,-4.88172,-2.928287,0.359419,1.213886,-0.29522,-1.552232,0.694213,1.102337
Columbia Large Cap Growth Z,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.409042,-0.995833,-0.062673,-1.482375,-0.021013,1.589756,-0.292685,-0.731649,-0.32178,0.463129,0.409152,-1.064043,-0.015987,-0.927481,-0.949889,-0.437911,0.253555,-0.339751,-0.038918,-1.247013,-0.976651,-1.764199,-0.709664,-1.327627,-0.829905,-0.313816,-0.797767,-0.62532,-0.489369,0.127788,-0.984848,0.815172,0.1865,-0.912826,-0.777992,0.151231,-0.090886,0.780083,0.034344,0.394453,-0.515147,0.199495,-0.108679,-0.127641,-0.855267,-1.346268,0.296432,0.968922,0.40504,0.18709,-0.667018,0.054966,-0.422532,-0.421827,-0.232629,-0.073293,0.933314,-0.564735,-0.145015,-0.065991,0.512192,0.009727,-0.622426,0.520924,-1.035992,0.486422,-0.643863,1.022497,-0.538339,-0.315246,-0.214805,1.706998,0.630869,0.46652,0.047845,-1.295248,-0.973141,0.533816,0.826111,-0.124107,1.778695,-0.846406,-1.314214,-0.493947,0.08502,-0.642789,-0.745146,-0.062663,0.032013,-0.835323,-0.838193,-0.600494,0.428852
Columbia Marsico 21st Century A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.200213,3.692909,-1.199802,-0.121393,-0.628413,-1.072435,2.526755,2.452501,2.499359,-0.218599,1.804922,2.902032,2.692033,-5.505149,-1.110714,1.149919,-0.345297,1.516685,2.016277,1.269256,0.901567,2.634306,-0.174998,-0.261911,5.367919,-2.882615,-1.421878,-3.550861,2.314138,1.011751,0.923075,-2.514351,1.487899,0.076641,1.618849,1.784513,2.315456,-0.719153,3.076892,-0.413796,-1.78278,-1.415287,-0.707486,0.447385,-1.299491,-1.376786,-0.37617,1.837747,2.795966,1.633687,0.046415,1.055076,0.820942,1.282815,-0.07609,0.896338,1.497823,-1.431207,-1.417817,-0.302747,-0.175402,1.447924,1.191058,3.103847,-2.720634,-0.61455,-0.526133,1.455255,1.588884,1.07705,-1.609217,3.287549,2.730678,1.287634,-0.371433,1.005937,-3.936712,-0.833842,0.492335,-0.159983,-2.245702,-0.560971,-0.359712,-0.779764,2.901946,-3.799202,-0.710164,-4.291853,2.519275,-4.488853,1.080589,0.172202,-1.675973
Columbia Marsico Focused Eq A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.469865,0.791734,-2.173058,1.792249,-1.615386,0.307861,0.287839,1.745759,0.091936,-2.410512,0.170752,2.049376,0.489912,-5.174985,-2.327517,-0.287087,0.688005,2.17464,-0.342321,-0.01216,0.138369,0.776475,-1.137986,-1.022146,2.212078,-2.672131,0.077316,-2.773952,0.242627,-0.326127,-0.462712,-0.795944,-0.520806,-0.155608,0.41827,2.560118,-2.405374,0.755602,2.294008,-1.208158,-1.697145,0.6275,1.346493,-1.350684,-0.084297,-0.298169,-0.267296,1.056871,0.736419,0.20966,0.287835,-0.494216,-0.240054,-0.323689,-0.981696,0.120002,0.172289,-2.218474,-1.838655,0.05457,-1.051381,0.138533,1.759469,2.593164,-2.250035,-1.693898,-2.641701,-1.352446,-0.84357,0.180408,1.477114,3.387867,1.672555,-0.87989,-0.19063,-1.438893,-2.136078,-0.967102,3.138556,-1.998439,-0.451706,0.971526,-0.018217,-1.364178,3.481366,-3.149024,-1.136959,-2.906466,2.359047,-2.641036,1.130661,0.378493,-3.300196
Columbia Marsico Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.370625,1.07709,-1.414928,1.984878,-0.955521,-0.807476,0.338598,1.41024,-0.426028,-3.119863,0.274304,1.966135,1.402647,-5.312085,-0.974064,-0.718543,0.505241,1.799059,-0.480625,-0.125574,0.212336,0.578243,-0.925207,-0.536493,1.58448,-1.980245,-0.314274,-1.828652,1.300536,-0.01211,0.276505,-0.629668,-0.327528,-0.282371,1.257135,3.1931,-1.382236,0.588837,2.124869,-0.808649,-0.941872,0.099899,0.637539,-0.683422,-0.392364,-0.836432,-0.752981,-0.146285,0.918312,0.039682,0.199654,-0.637201,-0.135496,-0.364179,-0.311323,-0.394316,0.213499,-1.47029,-2.234873,-0.238924,-0.660248,-0.054784,0.959886,2.631777,-1.686054,-1.249004,-1.769983,-0.209867,-0.256868,0.057411,0.475538,2.182299,1.301919,-0.804372,-0.333588,-0.742631,-2.221583,-0.794124,1.135712,-1.133871,0.019781,-0.265358,-0.789364,-0.763629,2.532244,-3.122349,-1.178446,-1.973299,0.720543,-2.227851,0.895032,0.267497,-3.415885
Columbia Select Large Cap Growth Z,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.311489,2.869907,-1.566439,-0.513185,-4.2033,-0.530507,-3.467093,-0.349272,-0.137124,-1.253549,0.601234,-2.906466,1.577175,-1.921061,0.10343,-0.553801,-1.748508,0.103167,-1.472589,-0.733604,1.145719,3.024651,-2.079302,-1.95258,-2.224585,0.217296,-1.109231,0.914486,1.113188,0.450436,0.455209,1.799347,-1.763255,-0.725067,-1.158539,2.344832,1.159775,0.372719,1.375409,-0.04888,-0.261704,-0.12628,-0.633342,2.447686,0.030385,-0.70776,0.022742,2.179144,2.602729,-0.773504,0.945174,-0.574269,0.163978,-1.316807,-1.941688,-0.720303,1.287054,-0.667943,-0.621626,3.423108,-0.23061,-0.030184,-2.857438,1.231134,0.864501,-0.007203,-2.221336,-1.470923,-0.284703,1.395579,1.545439,2.283106,4.729131,0.775999,-2.110254,0.489356,-1.111691,1.91779,1.658908,-2.635494,-1.070908,1.481723,1.856668,-2.175805,-0.023583,-2.859852,1.344294,1.464158,2.337643,0.965796,-0.770315,-1.230118,0.62344
Columbia Strategic Investor Z,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.885524,1.602662,1.169843,0.106347,1.067526,0.429853,0.881125,1.631471,1.12014,1.693794,-0.049667,-0.398676,-0.635624,3.095281,-1.261689,-0.168414,0.377239,-0.963111,0.784635,0.89737,-0.664855,0.449679,1.199219,0.033918,-0.925765,0.253437,-0.114551,-0.241717,0.700695,0.478898,1.231496,-0.747713,0.503328,-0.250571,0.003855,0.094212,-1.40971,-0.170301,-0.119804,-0.146846,0.46744,0.070961,-0.490325,-0.09894,-0.160202,0.051733,0.736934,-0.321191,-0.183347,-0.866513,0.025848,-0.127177,-0.580139,-0.263245,-0.850978,0.6095,-0.50915,0.163765,-0.477062,-0.067054,-0.792013,-0.22395,-0.280197,-0.118451,-0.355374,0.222673,-0.025722,0.380249,-0.352693,-1.072498,0.784361,1.360777,0.535174,0.249916,0.932893,-1.070126,-0.541318,0.064194,0.76663,0.168429,0.668078,-0.651293,0.085041,0.831762,-1.06553,-0.351848,-0.700183,0.168243,0.200801,-0.89772,-0.389599,0.071753,-1.074369
Commerce Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.746178,0.919685,-0.452247,0.935797,-0.03559,0.585826,0.208573,-0.059795,-1.048902,0.136169,-0.407731,1.201891,0.138921,-2.337199,-0.113794,-0.158186,-1.026094,0.723335,0.06841,-1.449594,-0.306715,0.477729,-0.292912,-0.302891,1.282343,0.708508,0.50347,-1.403524,-0.319856,0.724433,-1.007829,1.216654,-0.839166,-0.730526,-0.56559,0.200621,-0.144639,0.732147,-0.591301,-0.012651,-0.161071,0.572516,-0.127429,-0.477075,-0.138163,-0.693043,-0.691228,0.046414,0.549993,0.579106,0.864862,-0.160737,0.21352,0.019094,-0.576867,-1.215141,0.42096,0.451502,0.90257,0.724482,-0.664033,-0.18458,-0.74053,0.424466,-0.871593,-0.128748,0.117267,-0.975358,-0.059843,-0.094895,0.270914,0.148141,-1.099561,-0.063083,-0.077033,-0.360279,-0.996256,-1.424016,0.529882,-0.135341,-0.652073,-0.21847,-0.140936,0.762982,-0.380026,-0.772876,1.177512,0.919046,-0.096171,0.31924,-1.095349,-0.84055,0.927983
